report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level,id
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N16000071,KOCHI-KOOTANAD BANGALORE-MANGALORE PIPELINE PROJEC(GAS AUTHORITY OF INDIA LIMITED),GAS AUTHORITY OF INDIA LIMITED,,03/2012,,03/2012,348.0,,348.0,0.0,0.0,203.31,58.42,58.42,0.0,0.0,Low,On Schedule,,Petroleum & Natural Gas,Karnataka,1.0,0.584,5.855,0,36.0,On Schedule,0,Low,1031
FEB-2013,2013,FEB,FR_FEB_2013.pdf,240106301,"SAGAR BY PASS,KM 187 TO KM 211 , NH-26 (NHAI)(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NHAI,,10/2008,,10/2008,151.3,,190.61,39.31,25.98,190.61,100.0,125.98,25.98,0.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.26,1.26,5.026,1,36.0,On Schedule,0,Medium,1032
FEB-2013,2013,FEB,FR_FEB_2013.pdf,240106204,"GARHMUKTESHWAR-MURADABAD (NHAI) OTHERS KM.93- 149.25, NH-24(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NHAI,,09/2007,,09/2007,275.0,,306.65,31.65,11.51,306.65,100.0,111.51,11.51,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.115,1.115,5.62,0,36.0,On Schedule,0,Low,1033
FEB-2013,2013,FEB,FR_FEB_2013.pdf,240106300,"LALITPUR TO SAGAR KM 132 TO KM 187, NH-26 (NHAI)(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NHAI,,10/2008,,10/2008,225.0,,261.9,36.9,16.4,261.9,100.0,116.4,16.4,0.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.164,1.164,5.421,1,36.0,On Schedule,0,Medium,1034
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N24000085,"GORAKHPUR BYPASS, NH-28, PHASE-II EAST-WEST CORRID(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA,,10/2009,,10/2009,600.24,,805.1,204.86,34.13,805.1,100.0,134.13,34.13,0.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.341,1.341,6.399,1,36.0,On Schedule,0,Medium,1035
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N16000030,CONSTRUCTION OF NEW PROCESS COMPLEX MHN(OIL & NATURAL GAS CORPORATION LIMITED),OIL & NATURAL GAS CORPORATION LIMITED,,05/2010,,05/2010,2853.29,,5659.05,2805.76,98.33,5659.05,100.0,198.33,98.33,0.0,High,General Execution Delay,,Petroleum & Natural Gas,Multi-State / Central,1.983,1.983,7.957,1,36.0,On Schedule,0,High,1036
MAR-2013,2013,MAR,FR_MAR_2013.pdf,240101173,AGRA-SHIKOHABAD (GQ) KM.199.66-KM.250.50 (NH- 2)(NATIONAL HIGHWAYS AUTHORITY OF INDIA),GQ,,03/2005,,03/2005,367.49,,453.68,86.19,23.45,453.68,100.0,123.45,23.45,0.0,Medium,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.235,1.235,5.909,1,36.0,On Schedule,0,Medium,1037
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N18000049,WESTERN REGION STRENGHTENING SCHEME-X(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,02/2012,,02/2012,664.96,,664.96,0.0,0.0,362.1,54.45,54.45,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.545,6.501,0,36.0,On Schedule,0,Low,1038
MAR-2014,2014,MAR,FR_mar_2014.pdf,160100216,IOR GELEKI (ONGCL) (OIL & NATURAL GAS CORPORATION LIMITED),ONGCL,,03/2007,,03/2007,390.09,,1759.52,1369.43,351.05,1759.52,100.0,451.05,351.05,0.0,High,General Execution Delay,,Petroleum & Natural Gas,Multi-State / Central,4.511,4.511,5.969,1,36.0,On Schedule,0,High,1039
MAR-2014,2014,MAR,FR_mar_2014.pdf,160100217,"IOR, RUDRASAGAR (ONGCL) (OIL & NATURAL GAS CORPORATION LIMITED)",ONGCL,,03/2006,,03/2006,113.9,,452.91,339.01,297.64,452.91,100.0,397.64,297.64,0.0,High,General Execution Delay,,Petroleum & Natural Gas,Multi-State / Central,3.976,3.976,4.744,1,36.0,On Schedule,0,High,1040
